file.id,mean.entropy,mean.productivity,mean.Simpsons.D,mean.Yules.K,mean.Sichels.S,mean.Honores.H,p.range,p.entropy,p.std,i.abs.range,i.abs.mean,i.abs.std,i.mode,i.entropy,d.range,d.median,d.mode,d.entropy,d.eq.trans,d.half.trans,d.dotted.trans,len,glob.duration,note.dens,tonalness,tonal.clarity,tonal.spike,int.cont.grad.mean,int.cont.grad.std,int.cont.dir.change,step.cont.glob.var,step.cont.glob.dir,step.cont.loc.var,mode,h.contour,int.cont.glob.dir,int.contour.class
A_Man_Drives_in_the_Game-Duplication_(a)_of_No_214,0.787106012759923,0.319761904761905,0.0223837592054894,209.013605442177,0.245878838440018,342.409605023663,17,0.523065452482388,3.59887831135437,12,2.05154639175258,2.42972535322333,7,0.608744873667242,0.875,4,3,0.287301303113087,0.628865979381443,0.329896907216495,0.0103092783505155,98,45.75,2.14207650273224,0.725591077439673,1.03507437747491,0.151950724391716,3.06055008210181,4.37305834623399,0.733333333333333,3.45079613521539,0,2.37254901960784,major,descending,-1,ccca
choct02,0.714252731878479,0.124296168113414,0.0409330943733872,387.017129992359,0.379166666666667,345.647338703532,8,0.405236314565297,2.10105557370802,6,1.46031746031746,2.04643984192688,5,0.444298225519948,0.4375,1,1,0.332021477729518,0.285714285714286,0.349206349206349,0.158730158730159,64,13.25,4.83018867924528,0.668010095497899,1.03586767736058,0.207015850265621,5.97815050446629,7.56716896617427,0.8125,2.1707384142632,-0.00514566415600745,1.22666666666667,minor,desc-horiz,-1,addc
choct06,0.842096621356413,0.498048767904488,0.0197934966630966,191.717305701279,0.133094213295074,337.399410431396,17,0.555130294116662,3.1363736455808,14,2.64130434782609,1.99219091796124,4,0.560865739129235,2.2188,12,6,0.617553100560614,0.445652173913043,0.217391304347826,0.0760869565217391,93,24,3.875,0.843888389707605,1.1984544828649,0.188485489887591,4.25058497880538,6.68172700680766,0.681818181818182,3.23367169840434,-0.488764551057725,2.1875,major,desc-horiz,-1,bcca
Duplication_of_No_39,0,0,0,-1204.30555555556,0,0,0,0,0,0,0,0,1,0,0,2,1,0,1,0,0,14,22.5,0.622222222222222,0.6844726949096,1.00041146376712,0.231517283781557,0,0,0,0,0,0,major,horizontal,0,cccc
Flute_Melody_1,0.899257639921981,0.725115089514067,0.0216430695431907,193.66464766714,0.0896969696969697,195.785424476636,7,0.382759273859513,1.87452558100607,3,1.8,0.866025403784439,4,0.433620719201118,0.4375,2,2,0.473428879667242,0.24,0.24,0.24,26,4.875,5.33333333333333,0.708844101378272,1.30190994634031,0.227941854029418,0.615384615384615,0,0,1.81848985997833,-0.675571430893328,0.661764705882353,major,convex,-1,cccc
Flute_Melody_2,0.725043262922742,0.35797052154195,0.0372341504331172,338.13606470555,0.0590579710144927,314.155892844465,4,0.270441309031548,1.28642524577001,4,1.2258064516129,1.04676480266048,2,0.36677589275957,0.4375,4,4,0.507203666640591,0.0645161290322581,0.370967741935484,0.225806451612903,63,20.25,3.11111111111111,0.707337564074044,1.11469476170432,0.236607347491055,0.594059405940594,0.903283121734238,0.75,1.2816768753648,-0.0194145022009359,0.484848484848485,major,convex,1,cccb
Flute_Melody_No_1,0.801920739876463,0.626298701298701,0.0436663336663337,303.89294147411,0,127.888959488828,3,0.305799971654185,0.970142500145332,3,1.125,0.806225774829855,2,0.519992215053644,1.25,1,1,0.274979739463189,0.3125,0,0,17,10.75,1.58139534883721,0.553673082180156,1.4653598598579,0.211456587420595,0.185185185185185,0.458563380386807,0.333333333333333,0.991579454035125,-0.597170123876572,0.260869565217391,minor,convex,0,cccc
Flute_Melody_No_2,0.899198697135918,0.696111111111111,0.0163691090471276,135.007716049383,0.22047619047619,200.200753709483,4,0.342995970773547,1.62235465667487,4,1.9047619047619,0.995226703056239,4,0.386912988986853,0.9375,8,3,0.502863413097096,0.428571428571429,0.0952380952380952,0.19047619047619,22,9.25,2.37837837837838,0.620378114147105,1.44758259959182,0.199371936269927,0.842512077294686,2.05639242386362,0.333333333333333,1.58902485820707,-0.426447098736167,0.5625,major,convex,1,cccc
Flute_Melody_No_3,0.96356369936959,0.869230769230769,0.008,76.9230769230769,0.05,192.373063437705,12,0.497451644728338,4.45152692387938,12,3.72413793103448,3.90874981588138,5,0.659511714079225,1.375,4,4,0.559567549342894,0.275862068965517,0.206896551724138,0.137931034482759,30,19,1.57894736842105,0.836013482042446,1.11563582440746,0.212006740380933,1.84210526315789,4.11102240705792,0.142857142857143,4.3417446111738,-0.364213946643715,1.3134328358209,major,ascending,1,dccc
Flute_Melody_No_4,0.929089250452175,0.731253196930946,0.0167483082269729,159.700943871377,0.145833333333333,199.611182052393,12,0.525846471997219,4.37563182250905,12,5.36,4.07103590420587,4,0.687351052315625,1.875,4,4,0.526197485521236,0.28,0.12,0.08,26,18.25,1.42465753424658,0.815519267632945,1.11858197666756,0.214318429490314,1.42681555397165,4.27692773009946,0.2,4.09752151180229,0.12171329845848,1.93650793650794,major,ascending,1,cccd
mandan01,0.888467204058503,0.69589713726423,0.0167713884610615,145.020909650885,0.0492063492063492,229.181546159142,10,0.510422708645175,2.70387210676613,4,1.17647058823529,1.11384097214546,3,0.473610677616173,1.375,4,4,0.528248707923392,0.264705882352941,0.176470588235294,0.0588235294117647,35,18.5,1.89189189189189,0.838359018574512,1.48051863440862,0.250198120728539,0.972972972972973,1.43017054195765,0.5,2.35279925528387,-0.618924893394123,0.430769230769231,major,descending,-1,bccc
mandan02,0.917697714294958,0.769466521219677,0.0131018822743928,118.242897028764,0.0418668288233506,224.643166664241,14,0.597601103125083,4.16427382271966,7,2.02941176470588,2.02237924863561,5,0.557840360592368,0.875,4,4,0.514297318184339,0.264705882352941,0.235294117647059,0.0588235294117647,35,18,1.94444444444444,0.82388188457889,1.40575500165078,0.236927971587636,3.14963924963925,5.66705041861036,0.615384615384615,4.21101901219882,-0.77108322085127,0.770491803278689,major,descending,-1,bbcc
mandan03,0.801423766778388,0.41754285955873,0.019732728021253,187.367517529872,0.148742531001667,355.465763168211,15,0.554237097713389,3.77783470093694,8,1.49019607843137,1.62130065156243,4,0.499431448943569,1.375,4,4,0.444533326554152,0.401960784313726,0.284313725490196,0.0196078431372549,103,60,1.71666666666667,0.816788430771041,1.0020420229573,0.19172013577836,0.626604083567388,0.943805113972702,0.5,3.89142106366515,-0.611625516491133,1.38666666666667,major,descending,-1,cccc
mandan04,0.828555947287779,0.407082467082467,0.0207017627008155,199.12875530599,0.256960583276373,343.735653466678,19,0.640809584655848,5.95901369817767,16,2.20731707317073,2.88348984750988,7,0.6375121768367,1.375,6,3,0.322007095646519,0.585365853658537,0.304878048780488,0.024390243902439,83,25,3.32,0.782192966254717,1.08673576201548,0.184234135155813,2.67024672744217,5.16120076448325,0.375,6.16579072857991,-0.510823201950986,2.0375,major,descending,-1,cdcc
mandan05,0.821460243874219,0.467803613384774,0.0279412859004953,258.970085320359,0.206119966989532,280.841627698594,14,0.605824163070928,4.09705486732343,5,1.72727272727273,1.74360807901099,5,0.5180814777988,1.25,1,1,0.349847426586519,0.636363636363636,0.227272727272727,0.0454545454545455,45,19.25,2.33766233766234,0.918767931759795,1.34138206708929,0.189692347652506,2.97594896331738,4.40812076256702,0.666666666666667,4.35698743444223,-0.827029769673459,1.04109589041096,major,descending,-1,bcdc
mandan06,0.913668319326286,0.764147739757496,0.0101729723071186,89.3972257104358,0.0616071428571429,264.929098199108,19,0.535432339825204,4.9063965670059,8,1.70454545454545,1.91176948905489,4,0.524277651764651,0.9167,8,3,0.623563696417216,0.363636363636364,0.0909090909090909,0.159090909090909,45,11.5,3.91304347826087,0.920991777829377,1.58143079549873,0.249819291843945,2.54122262177182,2.75056548182383,0.333333333333333,5.8742667970167,-0.862678318966637,1.13636363636364,minor,descending,-1,bcbc
mandan07,0.914810973135059,0.766164874551971,0.0163536625016701,152.696127092727,0.061025641025641,241.076465515849,16,0.545882498551058,5.64503292825946,16,3.36842105263158,3.97574438130657,7,0.662342589415628,1.9375,12,2,0.584865178328814,0.184210526315789,0.157894736842105,0.157894736842105,39,11.5,3.39130434782609,0.788386825422264,1.49354006061854,0.251410726100739,3.08807634857671,9.18244312327526,0.428571428571429,5.82106238926983,-0.812827137515495,1.7910447761194,major,descending,-1,bccc
mandan08,0.917780777604411,0.814769647696477,0.00517228029423151,33.0546191640778,0.0508960573476703,249.742044066232,17,0.632808165504644,5.49536475735916,17,2.24444444444444,3.22035822086722,7,0.604433653486056,1.875,6,3,0.484430717402233,0.511111111111111,0.155555555555556,0.133333333333333,46,14,3.28571428571429,0.862742340515271,1.25608646069554,0.207186622348543,5.14749420049419,9.19764661906568,0.666666666666667,6.3465972037189,-0.888516143505371,1.46376811594203,major,descending,-1,cdbb
