UniqName,MelodyNumber,Filename,Encoder,Section,Page,Chapter,Key,Mode
Berkowitz,1,Berkowitz1,DJB,I,5,1,C,
Berkowitz,2,Berkowitz2,DJB,I,5,1,F,
Berkowitz,3,Berkowitz3,DJB,I,5,1,F,
Berkowitz,4,Berkowitz4,DJB,I,6,1,F,
Berkowitz,5,Berkowitz5,DJB,I,6,1,G,
Berkowitz,6,Berkowitz6,DJB,I,6,1,D,
Berkowitz,7,Berkowitz7,DJB,I,6,1,D,
Berkowitz,8,Berkowitz8,DJB,I,6,1,G,
Berkowitz,9,Berkowitz9,DJB,I,6,1,B-,
Berkowitz,10,Berkowitz10,DJB,I,7,1,B-,
Berkowitz,11,Berkowitz11,DJB,I,7,1,C,
Berkowitz,12,Berkowitz12,DJB,I,7,1,D,
Berkowitz,13,Berkowitz13,DJB,I,7,1,B-,
Berkowitz,14,Berkowitz14,DJB,I,7,1,E-,
Berkowitz,15,Berkowitz15,DJB,I,7,1,D,
Berkowitz,16,Berkowitz16,DJB,I,8,1,D,
Berkowitz,17,Berkowitz17,DJB,I,8,1,B-,
Berkowitz,18,Berkowitz18,DJB,I,8,1,F,
Berkowitz,19,Berkowitz19,DJB,I,8,1,F,
Berkowitz,20,Berkowitz20,DJB,I,8,1,A,
Berkowitz,21,Berkowitz21,DJB,I,8,1,A,
Berkowitz,22,Berkowitz22,DJB,I,9,1,A,
Berkowitz,23,Berkowitz23,DJB,I,9,1,G,
Berkowitz,24,Berkowitz24,DJB,I,9,1,E-,
Berkowitz,25,Berkowitz25,DJB,I,9,1,E-,
Berkowitz,26,Berkowitz26,DJB,I,9,1,G,
Berkowitz,27,Berkowitz27,DJB,I,9,1,D,
Berkowitz,28,Berkowitz28,DJB,I,9,1,B-,
Berkowitz,29,Berkowitz29,DJB,I,10,1,E-,
Berkowitz,30,Berkowitz30,DJB,I,10,1,F,
Berkowitz,31,Berkowitz31,DJB,I,10,1,A-,
Berkowitz,32,Berkowitz32,DJB,I,10,1,B-,
Berkowitz,33,Berkowitz33,DJB,I,10,1,F,
Berkowitz,34,Berkowitz34,DJB,I,10,1,A-,
Berkowitz,35,Berkowitz35,DJB,I,11,1,G,
Berkowitz,36,Berkowitz36,DJB,I,11,1,g,
Berkowitz,37,Berkowitz37,DJB,I,11,1,g,
Berkowitz,38,Berkowitz38,DJB,I,12,1,E-,
Berkowitz,39,Berkowitz39,DJB,I,12,1,c,
Berkowitz,40,Berkowitz40,DJB,I,12,1,g,
Berkowitz,41,Berkowitz41,DJB,I,12,1,E-,
Berkowitz,42,Berkowitz42,DJB,I,12,1,d,
Berkowitz,43,Berkowitz43,DJB,I,13,1,d,
Berkowitz,44,Berkowitz44,DJB,I,13,1,f,
Berkowitz,45,Berkowitz45,DJB,I,13,1,A-,
Berkowitz,46,Berkowitz46,DJB,I,13,1,A-,
Berkowitz,47,Berkowitz47,DJB,I,14,1,C,
Berkowitz,48,Berkowitz48,DJB,I,15,1,B-,
Berkowitz,49,Berkowitz49,DJB,I,15,1,B-,
Berkowitz,50,Berkowitz50,DJB,I,15,1,E,
Berkowitz,51,Berkowitz51,DJB,I,15,1,E,
Berkowitz,52,Berkowitz52,DJB,I,15,1,E,
Berkowitz,53,Berkowitz53,DJB,I,16,1,A-,
Berkowitz,54,Berkowitz54,DJB,I,16,1,A-,
Berkowitz,55,Berkowitz55,DJB,I,16,1,A,
Berkowitz,56,Berkowitz56,DJB,I,16,1,D,
Berkowitz,57,Berkowitz57,DJB,I,16,1,G,
Berkowitz,58,Berkowitz58,DJB,I,16,1,C,
Berkowitz,59,Berkowitz59,DJB,I,17,1,C,
Berkowitz,60,Berkowitz60,DJB,I,17,1,C,
Berkowitz,61,Berkowitz61,DJB,I,17,1,D,
Berkowitz,62,Berkowitz62,DJB,I,17,1,E-,
Berkowitz,63,Berkowitz63,DJB,I,17,1,e,
Berkowitz,64,Berkowitz64,DJB,I,18,1,f#,
Berkowitz,65,Berkowitz65,DJB,I,18,1,f#,
Berkowitz,66,Berkowitz66,DJB,I,18,1,f,
Berkowitz,67,Berkowitz67,DJB,I,18,1,f,
Berkowitz,68,Berkowitz68,DJB,I,18,1,E-,
Berkowitz,69,Berkowitz69,DJB,I,19,1,A,
Berkowitz,70,Berkowitz70,DJB,I,19,1,d,
Berkowitz,71,Berkowitz71,DJB,I,19,1,C,
Berkowitz,72,Berkowitz72,DJB,I,19,1,E,
Berkowitz,73,Berkowitz73,DJB,I,19,1,C,
Berkowitz,74,Berkowitz74,DJB,I,20,1,D,
Berkowitz,75,Berkowitz75,DJB,I,20,1,d,
Berkowitz,76,Berkowitz76,DJB,I,20,1,D,
Berkowitz,77,Berkowitz77,DJB,I,20,1,d,
Berkowitz,78,Berkowitz78,DJB,I,20,1,D,
Berkowitz,79,Berkowitz79,DJB,I,20,1,d,
Berkowitz,80,Berkowitz80,DJB,I,21,1,C,
Berkowitz,81,Berkowitz81,DJB,I,21,1,B-,
Berkowitz,82,Berkowitz82,DJB,I,21,1,E-,
Berkowitz,83,Berkowitz83,DJB,I,21,1,A,
Berkowitz,84,Berkowitz84,DJB,I,21,1,E,
Berkowitz,85,Berkowitz85,DJB,I,22,1,e,
Berkowitz,86,Berkowitz86,DJB,I,22,1,d,
Berkowitz,87,Berkowitz87,DJB,I,22,1,A-,
Berkowitz,88,Berkowitz88,DJB,I,22,1,e,
Berkowitz,89,Berkowitz89,DJB,I,22,1,B-,
Berkowitz,90,Berkowitz90,DJB,I,23,1,B-,
Berkowitz,91,Berkowitz91,DJB,I,23,1,B-,
Berkowitz,92,Berkowitz92,DJB,I,23,1,E,
Berkowitz,93,Berkowitz93,DJB,I,23,1,e,
Berkowitz,94,Berkowitz94,DJB,I,23,1,C,
Berkowitz,95,Berkowitz95,DJB,I,24,1,G,
Berkowitz,96,Berkowitz96,DJB,I,24,1,c,
Berkowitz,97,Berkowitz97,DJB,I,24,1,c#,
Berkowitz,98,Berkowitz98,DJB,I,24,1,A,
Berkowitz,99,Berkowitz99,DJB,I,25,1,e,
Berkowitz,100,Berkowitz100,DJB,I,25,1,C,
Berkowitz,101,Berkowitz101,DJB,I,25,1,E-,
Berkowitz,102,Berkowitz102,DJB,I,25,1,f#,
Berkowitz,103,Berkowitz103,DJB,I,26,1,g,
Berkowitz,104,Berkowitz104,DJB,I,26,1,c,
Berkowitz,105,Berkowitz105,DJB,I,26,1,d,
Berkowitz,106,Berkowitz106,DJB,I,26,1,E-,
Berkowitz,107,Berkowitz107,DJB,I,26,1,D,
