Filename,!!!Encoder,!!!Section,!!!Page,!!!Chapter,Key
Berkowitz1,DJB,I,5,1,C
Berkowitz2,DJB,I,5,1,F
Berkowitz3,DJB,I,5,1,F
Berkowitz4,DJB,I,6,1,F
Berkowitz5,DJB,I,6,1,G
Berkowitz6,DJB,I,6,1,D
Berkowitz7,DJB,I,6,1,D
Berkowitz8,DJB,I,6,1,G
Berkowitz9,DJB,I,6,1,B-
Berkowitz10,DJB,I,7,1,B-
Berkowitz11,DJB,I,7,1,C
Berkowitz12,DJB,I,7,1,D
Berkowitz13,DJB,I,7,1,B-
Berkowitz14,DJB,I,7,1,E-
Berkowitz15,DJB,I,7,1,D
Berkowitz16,DJB,I,8,1,D
Berkowitz17,DJB,I,8,1,B-
Berkowitz18,DJB,I,8,1,F
Berkowitz19,DJB,I,8,1,F
Berkowitz20,DJB,I,8,1,A
Berkowitz21,DJB,I,8,1,A
Berkowitz22,DJB,I,9,1,A
Berkowitz23,DJB,I,9,1,G
Berkowitz24,DJB,I,9,1,E-
Berkowitz25,DJB,I,9,1,E-
Berkowitz26,DJB,I,9,1,G
Berkowitz27,DJB,I,9,1,D
Berkowitz28,DJB,I,9,1,B-
Berkowitz29,DJB,I,10,1,E-
Berkowitz30,DJB,I,10,1,F
Berkowitz31,DJB,I,10,1,A-
Berkowitz32,DJB,I,10,1,B-
Berkowitz33,DJB,I,10,1,F
Berkowitz34,DJB,I,10,1,A-
Berkowitz35,DJB,I,11,1,G
Berkowitz36,DJB,I,11,1,g
Berkowitz37,DJB,I,11,1,g
Berkowitz38,DJB,I,12,1,E-
Berkowitz39,DJB,I,12,1,c
Berkowitz40,DJB,I,12,1,g
Berkowitz41,DJB,I,12,1,E-
Berkowitz42,DJB,I,12,1,d
Berkowitz43,DJB,I,13,1,d
Berkowitz44,DJB,I,13,1,f
Berkowitz45,DJB,I,13,1,A-
Berkowitz46,DJB,I,13,1,A-
Berkowitz47,DJB,I,14,1,C
Berkowitz48,DJB,I,15,1,B-
Berkowitz49,DJB,I,15,1,B-
Berkowitz50,DJB,I,15,1,E
Berkowitz51,DJB,I,15,1,E
Berkowitz52,DJB,I,15,1,E
Berkowitz53,DJB,I,16,1,A-
Berkowitz54,DJB,I,16,1,A-
Berkowitz55,DJB,I,16,1,A
Berkowitz56,DJB,I,16,1,D
Berkowitz57,DJB,I,16,1,G
Berkowitz58,DJB,I,16,1,C
Berkowitz59,DJB,I,17,1,C
Berkowitz60,DJB,I,17,1,C
Berkowitz61,DJB,I,17,1,D
Berkowitz62,DJB,I,17,1,E-
Berkowitz63,DJB,I,17,1,e
Berkowitz64,DJB,I,18,1,f#
Berkowitz65,DJB,I,18,1,f#
Berkowitz66,DJB,I,18,1,f
Berkowitz67,DJB,I,18,1,f
Berkowitz68,DJB,I,18,1,E-
Berkowitz69,DJB,I,19,1,A
Berkowitz70,DJB,I,19,1,d
Berkowitz71,DJB,I,19,1,C
Berkowitz72,DJB,I,19,1,E
Berkowitz73,DJB,I,19,1,C
Berkowitz74,DJB,I,20,1,D
Berkowitz75,DJB,I,20,1,d
Berkowitz76,DJB,I,20,1,D
Berkowitz77,DJB,I,20,1,d
Berkowitz78,DJB,I,20,1,D
Berkowitz79,DJB,I,20,1,d
Berkowitz80,DJB,I,21,1,C
Berkowitz81,DJB,I,21,1,B-
Berkowitz82,DJB,I,21,1,E-
Berkowitz83,DJB,I,21,1,A
Berkowitz84,DJB,I,21,1,E
Berkowitz85,DJB,I,22,1,e
Berkowitz86,DJB,I,22,1,d
Berkowitz87,DJB,I,22,1,A-
Berkowitz88,DJB,I,22,1,e
Berkowitz89,DJB,I,22,1,B-
Berkowitz90,DJB,I,23,1,B-
Berkowitz91,DJB,I,23,1,B-
Berkowitz92,DJB,I,23,1,E
Berkowitz93,DJB,I,23,1,e
Berkowitz94,DJB,I,23,1,C
Berkowitz95,DJB,I,24,1,G
Berkowitz96,DJB,I,24,1,c
Berkowitz97,DJB,I,24,1,c#
Berkowitz98,DJB,I,24,1,A
Berkowitz99,DJB,I,25,1,e
Berkowitz100,DJB,I,25,1,C
Berkowitz101,DJB,I,25,1,E-
Berkowitz102,DJB,I,25,1,f#
Berkowitz103,DJB,I,26,1,g
Berkowitz104,DJB,I,26,1,c
Berkowitz105,DJB,I,26,1,d
Berkowitz106,DJB,I,26,1,E-
Berkowitz107,DJB,I,26,1,D
Berkowitz108,DJB,I,26,1,d
Berkowitz109,DJB,I,27,1,D
Berkowitz110,DJB,I,27,1,d
Berkowitz111,DJB,I,27,1,d
Berkowitz112,DJB,I,27,1,D
Berkowitz113,DJB,I,27,1,d
Berkowitz114,DJB,I,28,1,D
Berkowitz115,DJB,I,28,1,E-
Berkowitz116,DJB,I,28,1,B
Berkowitz117,DJB,I,28,1,A-
Berkowitz118,DJB,I,28,1,D
Berkowitz119,DJB,I,28,1,D
Berkowitz120,DJB,I,28,1,E-
Berkowitz121,DJB,I,29,1,D
Berkowitz122,DJB,I,29,1,g
Berkowitz123,DJB,I,29,1,F
Berkowitz124,DJB,I,29,1,c#
Berkowitz125,DJB,I,29,1,g
Berkowitz126,DJB,I,29,1,A-
Berkowitz127,DJB,I,30,1,e
Berkowitz128,DJB,I,30,1,F
Berkowitz129,DJB,I,30,1,f
Berkowitz130,DJB,I,30,1,f
Berkowitz131,DJB,I,30,1,F
Berkowitz132,DJB,I,30,1,D
Berkowitz133,DJB,I,30,1,d
Berkowitz134,DJB,I,30,1,A
Berkowitz135,DJB,I,31,1,a
Berkowitz136,DJB,I,31,1,B
Berkowitz137,DJB,I,31,1,E
Berkowitz138,DJB,I,31,1,d
Berkowitz139,DJB,I,32,1,d
Berkowitz140,DJB,I,32,1,D-
Berkowitz141,DJB,I,32,1,D
Berkowitz142,DJB,I,32,1,g
Berkowitz143,DJB,I,32,1,G
Berkowitz144,DJB,I,32,1,E
Berkowitz145,DJB,I,33,1,E-
Berkowitz146,DJB,I,33,1,G
Berkowitz147,DJB,I,33,1,C
Berkowitz148,DJB,I,33,1,b
Berkowitz149,DJB,I,33,1,C
Berkowitz150,DJB,I,34,1,c
Berkowitz151,DJB,I,34,1,C
Berkowitz152,DJB,I,34,1,c
Berkowitz153,DJB,I,34,1,f
Berkowitz154,DJB,I,34,1,F
Berkowitz155,DJB,I,35,1,d
Berkowitz156,DJB,I,35,1,f#
Berkowitz157,DJB,I,35,1,B-
Berkowitz158,DJB,I,35,1,A-
Berkowitz159,DJB,I,36,1,F
Berkowitz160,DJB,I,36,1,f
Berkowitz161,DJB,I,36,1,e
Berkowitz162,DJB,I,36,1,b
Berkowitz163,DJB,I,36,1,f#
Berkowitz164,DJB,I,36,1,G
Berkowitz165,DJB,I,37,1,a
Berkowitz166,DJB,I,37,1,A
Berkowitz167,DJB,I,37,1,G
Berkowitz168,DJB,I,38,1,g
Berkowitz169,DJB,I,38,1,D
Berkowitz170,DJB,I,38,1,d
Berkowitz171,DJB,I,39,1,f
Berkowitz172,DJB,I,39,1,C
Berkowitz173,DJB,I,39,1,C
Berkowitz174,DJB,I,40,1,c
Berkowitz175,DJB,I,40,1,c
Berkowitz176,DJB,I,40,1,C
Berkowitz177,DJB,I,40,1,E
Berkowitz178,DJB,I,40,1,e
Berkowitz179,DJB,I,41,1,B-
Berkowitz180,DJB,I,41,1,f
Berkowitz181,DJB,II,43,1,D
Berkowitz182,DJB,II,43,1,E-
Berkowitz183,DJB,II,43,1,G
Berkowitz184,DJB,II,44,1,g
Berkowitz185,DJB,II,44,1,E-
Berkowitz186,DJB,II,44,1,D
Berkowitz187,DJB,II,44,1,A-
Berkowitz188,DJB,II,45,1,A-
Berkowitz189,DJB,II,45,1,A-
Berkowitz190,DJB,II,45,1,E-
Berkowitz191,DJB,II,45,1,b
Berkowitz192,DJB,II,45,1,d
Berkowitz193,DJB,II,45,1,E-
Berkowitz194,DJB,II,46,1,E
Berkowitz195,DJB,II,46,1,E-
Berkowitz196,DJB,II,46,1,E-
Berkowitz197,DJB,II,46,1,g
Berkowitz198,DJB,II,46,1,f
Berkowitz199,DJB,II,46,1,A-
Berkowitz200,DJB,II,46,1,b-
Berkowitz201,DJB,II,46,1,A
Berkowitz202,DJB,II,46,1,F
Berkowitz203,DJB,II,46,1,G
Berkowitz204,DJB,II,46,1,D
Berkowitz205,DJB,II,46,1,E
Berkowitz206,DJB,II,46,1,d
Berkowitz207,DJB,II,46,1,E-
Berkowitz208,DJB,II,46,1,E
Berkowitz209,DJB,II,46,1,f#
Berkowitz210,DJB,II,46,1,D
Berkowitz211,DJB,II,49,1,E-
Berkowitz212,DJB,II,49,1,d
Berkowitz213,DJB,II,50,1,c#
Berkowitz214,DJB,II,50,1,D
Berkowitz215,DJB,II,50,1,c
Berkowitz216,DJB,II,50,1,B-
Berkowitz217,DJB,II,50,1,F
Berkowitz218,DJB,II,50,1,D
Berkowitz219,DJB,II,51,1,A
Berkowitz220,DJB,II,51,1,b
Berkowitz221,DJB,II,51,1,D-
Berkowitz222,DJB,II,51,1,E-
Berkowitz223,DJB,II,51,1,E
Berkowitz224,DJB,II,52,1,G
Berkowitz225,DJB,II,52,1,F
Berkowitz226,DJB,II,52,1,A
Berkowitz227,DJB,II,52,1,f
Berkowitz228,DJB,II,52,1,e
Berkowitz229,DJB,II,53,1,C
Berkowitz230,DJB,II,53,1,b-
Berkowitz231,DJB,II,53,1,E
Berkowitz232,DJB,II,53,1,d
Berkowitz233,DJB,II,53,1,A-
Berkowitz234,DJB,II,54,1,B-
Berkowitz235,DJB,II,54,1,C
Berkowitz236,DJB,II,54,1,d
Berkowitz237,DJB,II,54,1,e
Berkowitz238,DJB,II,55,1,d
Berkowitz239,DJB,II,55,1,f
Berkowitz240,DJB,II,55,1,g
Berkowitz241,DJB,II,55,1,g
Berkowitz242,DJB,II,56,1,d
Berkowitz243,DJB,II,56,1,D
Berkowitz244,DJB,II,56,1,f#
Berkowitz245,DJB,II,56,1,D-
Berkowitz246,DJB,II,57,1,E-
Berkowitz247,DJB,II,57,1,A-
